Distance from Tangos Halo			x			y			z			vx			vy			vz			Mean [Fe/H]			Mean Tform			Total Stellar Mass			Half-light radius			Simulation			Output Number			Tangos Halo ID			Internal ID			Count ID			
kpc			kpc			kpc			kpc			km s**-1			km s**-1			km s**-1			dec			Myr			log10(msol)			pc			N/A			N/A			N/A			N/A			N/A			
0.2197439851920058          0.03545767663802137         -0.20669242823318942            -0.06563849714038278            -6.2675875391219895         -1.7930257758551609         -12.546906839062467         -1.8680114026845567         853.498116936012            3.864575637912512           4.146215145520816           Halo1459_fiducial_hires         00020           0           2           1           
0.10601663979653139         -0.0477868941198149         0.09323565767612375         0.016218902610186586            3.5898170690384528          -11.736013869031584         -6.835681409719573          -2.146560428969991          899.4173540757756           3.901189611146387           4.110308628441827           Halo1459_fiducial_hires         00021           0           3           2           
0.07896350450463631         0.06561835778242872         -0.0315840816049206         -0.03052723300119656            0.24652797797843032         9.278705515338228           6.000306204112821           -1.9030399217272176         929.2797161904183           4.366302693191952           2.728071634571014           Halo1459_fiducial_hires         00023           0           4           3           
0.6353325634264405          0.0698319932727957          -0.5461300662645737         -0.31703771003915227            3.468443727723016           -10.17692766506769          -2.0782788625779283         -1.9810072773157341         932.7290001495818           3.731801735001619           54.69109343454517           Halo1459_fiducial_hires         00023           0           5           4           
0.001683723914349454            0.0009723641700410164           0.0004349395205736073           0.0013039408557753113           -0.5746188349966068         -0.24450306089060803            -0.24860082162361813            -3.0985396375304797         456.8848402851183           3.5261072753657943          6.804358840660939           Halo1459_fiducial_hires         00015           2           6           5           
0.7993614414029573          0.5399719039908214          0.5859064911888016          -0.06420779145732272            -1.6081052601628223         -0.5965510774933659         1.519487989848115           -2.3607089080108064         1112.1417477250006          4.184525047369336           4.901637913925015           Halo1445_fiducial_hires         00021           0           2           8           
0.26076298604280557         -0.13057481633441884            0.09153817972665737         -0.20632090025314523            6.017360329093157           4.4157694424717455          -2.228459626447343          -2.633346315758318          1354.6472274602888          3.793025697457091           10.344024919556784          Halo600_fiducial_hires          00029           0           1           10          
0.09418354856250408         -0.0502154864164533         0.07967004409866521         -0.0012766429086199919          4.003722466254178           3.702198102414724           -1.3305851937343678         -3.041116484372395          1350.3691883599452          3.793873409395623           0.12109246404967318         Halo600_fiducial_hires          00029           0           2           11          
0.1639945007413853          -0.08205904785340105            0.06284838992356374         -0.1273208106435959         9.320672045880615           0.3658690054210732          4.36157337754645            -2.7355448341871758         1344.0970828994923          3.7994189046795146          1.0490291873746442          Halo600_fiducial_hires          00029           0           3           12          
0.041792246052382465            0.0256146323293003          0.026943923279573442            -0.019092077913166413           8.781877322340486           -2.242737763773426          -0.482638618326515          -2.364104800949378          1356.8682091759297          4.101074937453294           2.644984777674288           Halo600_fiducial_hires          00029           0           4           13          
0.011083879955456703            -0.0038456724241768825          -0.010394121530507932           0.00015948695181577932          0.2107915410623546          0.16744309631859405         0.4113429948968719          -2.598316636937965          562.8039329735569           3.8254840959415284          20.649361212500263          Halo600_fiducial_hires          00018           3           10          16          
